title,publication_url,institution,institution_url,type,format,price
"The American Landscape's ""Quieter Spirit"" : Early Paintings by Frederic Edwin Church",http://www.seattleartmuseum.org/Documents/QuieterSpiritPublication.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,Exhibition catalog,PDF,0
Ancestral Modern Australian Aboriginal Art ,http://www.seattleartmuseum.org/Documents/Ancestral-Modern-Symposium-V4.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,"Symposium, scholarly article ",PDF,0
Poem Scroll with Deer,http://www1.seattleartmuseum.org/exhibit/interactives/deerscroll/webSAM_deer.swf,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,Collection catalog ,"Website, PDF ",0
Screens from the 16th to 17th Century: Bamboo Grove of Spring and Autumn and Crows ,http://www.seattleartmuseum.org/Documents/SymposiumPaper_Kawaii.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,"Scholarly article, symposium",PDF,0
White Path between Two Rivers: An Excellent Buddhist Painting from the Thirteenth Century ,http://www.seattleartmuseum.org/Documents/SymposiumPaper_Shiraha.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,"Scholarly article, symposium",PDF,0
The Deer Scroll by K_etsu and S_tatsu Reappraised ,http://www.seattleartmuseum.org/Documents/SymposiumPaper_Murase.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,"Scholarly article, symposium",PDF,0
A Northwest Summer: Six Exhibitions-One Celebration,http://www.seattleartmuseum.org/Documents/NWSummerinsert.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,Exhibition catalog,PDF,0
From the archives,http://www.guggenheim.org/new-york/exhibitions/publications/from-the-archives,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Backlist,PDF,0
"Essays: ""Aestheticism and Japan: The Cult of the Orient""",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/77,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Albert Eckhout and Frans Post ,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/216,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
"Essays: ""Asian Structures in Modern Composition: Music and Philosophy""",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/82,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: The Baroque Culture of Brazil,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/217,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,Mobi,1.99
Essays: Between Old and New: Russia's Modern Women,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/331,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
"Essays: ""Brazil: Body & Soul"" ",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/212,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",2.99
"Essays: Buddhism and the Neo-Avant-Garde: Cage Zen, Beat Zen, and Zen",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/344,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Claes Oldenburg and the Feeling of Things,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/355,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Dressing up and Dressing Down: The Body of the Avant-Garde,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/335,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
"Essays: From Realism to Symbolism, 1860-1900",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/204,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Gender Trouble in the Amazonian Kingdom: Turn-of-the-Century Representations of Women in Russia ,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/334,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
The Guggenheim Forum Reader ,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/351,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",4.99
The Guggenheim Reader Series: Modern Asian Art ,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/352,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",6.99
The Guggenheim Reader Series: Russia,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/340,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",6.99
Essays: The Hermitage and the Romanov Family Collections,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/200,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: The Icon in the Life and History of the Russian People,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/205,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Introduction and Conversation from John Chamberlain (1971),http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/326,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Kazimir Malevich Suprematism,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/206,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
